scientific_name,preferred_common_name,habitat,genus,family,family_order,breeding_population,winter_visitor_population
Locustella luscinioides,Savi's Warbler,freshwater,Locustella,Locustellidae,Passeriformes,,
Locustella fluviatilis,River Warbler,,Locustella,Locustellidae,Passeriformes,,
Locustella lanceolata,Lanceolated Warbler,,Locustella,Locustellidae,Passeriformes,,
Locustella naevia,Grasshopper Warbler,freshwater,Locustella,Locustellidae,Passeriformes,12000,
Helopsaltes certhiola,Pallas's Grasshopper Warbler,terrestrial,Helopsaltes,Locustellidae,Passeriformes,,
Linaria flavirostris,Twite,,Linaria,Fringillidae,Passeriformes,"7,850 (5,850–10,000)",
Linaria cannabina,Linnet,,Linaria,Fringillidae,Passeriformes,560000,
Coccothraustes coccothraustes,Hawfinch,,Coccothraustes,Fringillidae,Passeriformes,"(500–1,000)",
Serinus serinus,Serin,,Serinus,Fringillidae,Passeriformes,0,
Carpodacus erythrinus,Common Rosefinch,,Carpodacus,Fringillidae,Passeriformes,,
Fringilla montifringilla,Brambling,,Fringilla,Fringillidae,Passeriformes,(0–1),"(45,000–1,800,000)"
Fringilla coelebs,Chaffinch,,Fringilla,Fringillidae,Passeriformes,5050000,
Pinicola enucleator,Pine Grosbeak,,Pinicola,Fringillidae,Passeriformes,,
Spinus spinus,Siskin,,Spinus,Fringillidae,Passeriformes,445000,
Loxia scotica,Scottish Crossbill,,Loxia,Fringillidae,Passeriformes,"6,800 (4,050–11,500)",
Loxia pytyopsittacus,Parrot Crossbill,,Loxia,Fringillidae,Passeriformes,65,
Loxia leucoptera,Two-barred Crossbill,,Loxia,Fringillidae,Passeriformes,,
Loxia curvirostra,Crossbill,,Loxia,Fringillidae,Passeriformes,"26,000 (19,500–34,000)",
Hesperiphona vespertina,Evening Grosbeak,,Hesperiphona,Fringillidae,Passeriformes,,
Carduelis carduelis,Goldfinch,,Carduelis,Fringillidae,Passeriformes,"1,650,000 (1,450,000–1,800,000)",
Carduelis citrinella,Citril Finch,,Carduelis,Fringillidae,Passeriformes,,
Pyrrhula pyrrhula,Bullfinch,,Pyrrhula,Fringillidae,Passeriformes,265000,
Chloris chloris,Greenfinch,,Chloris,Fringillidae,Passeriformes,"785,000 (735,000–835,000)",
Acanthis cabaret,Lesser Redpoll,,Acanthis,Fringillidae,Passeriformes,260000,
Acanthis flammea,Common Redpoll,,Acanthis,Fringillidae,Passeriformes,12,335
Acanthis hornemanni,Arctic Redpoll,,Acanthis,Fringillidae,Passeriformes,,11
Oriolus oriolus,Golden Oriole,,Oriolus,Oriolidae,Passeriformes,0 (0–2),
Plectrophenax nivalis,Snow Bunting,,Plectrophenax,Calcariidae,Passeriformes,60 (48–83),"(10,000–15,000)"
Calcarius lapponicus,Lapland Bunting,,Calcarius,Calcariidae,Passeriformes,(0–1),310
Hippolais polyglotta,Melodious Warbler,,Hippolais,Acrocephalidae,Passeriformes,,
Hippolais olivetorum,Olive-tree Warbler,,Hippolais,Acrocephalidae,Passeriformes,,
Hippolais icterina,Icterine Warbler,,Hippolais,Acrocephalidae,Passeriformes,(0–2),
Iduna caligata,Booted Warbler,,Iduna,Acrocephalidae,Passeriformes,,
Iduna rama,Sykes's Warbler,,Iduna,Acrocephalidae,Passeriformes,,
Iduna pallida,Eastern Olivaceous Warbler,,Iduna,Acrocephalidae,Passeriformes,,
Arundinax aedon,Thick-billed Warbler,terrestrial,Arundinax,Acrocephalidae,Passeriformes,,
Acrocephalus palustris,Marsh Warbler,freshwater,Acrocephalus,Acrocephalidae,Passeriformes,8,
Acrocephalus arundinaceus,Great Reed Warbler,,Acrocephalus,Acrocephalidae,Passeriformes,,
Acrocephalus dumetorum,Blyth's Reed Warbler,,Acrocephalus,Acrocephalidae,Passeriformes,,
Acrocephalus agricola,Paddyfield Warbler,,Acrocephalus,Acrocephalidae,Passeriformes,,
Acrocephalus schoenobaenus,Sedge Warbler,freshwater,Acrocephalus,Acrocephalidae,Passeriformes,240000,
Acrocephalus scirpaceus,Reed Warbler,freshwater,Acrocephalus,Acrocephalidae,Passeriformes,"130,000 (100,000–155,000)+",
Acrocephalus paludicola,Aquatic Warbler,freshwater,Acrocephalus,Acrocephalidae,Passeriformes,,
Cettia cetti,Cetti's Warbler,freshwater,Cettia,Cettiidae,Passeriformes,,
Pheucticus ludovicianus,Rose-breasted Grosbeak,,Pheucticus,Cardinalidae,Passeriformes,,
Piranga rubra,Summer Tanager,,Piranga,Cardinalidae,Passeriformes,,
Piranga olivacea,Scarlet Tanager,,Piranga,Cardinalidae,Passeriformes,,
Delichon urbicum,House Martin,freshwater,Delichon,Hirundinidae,Passeriformes,"480,000 (335,000–620,000)",
Ptyonoprogne rupestris,Crag Martin,,Ptyonoprogne,Hirundinidae,Passeriformes,,
Hirundo rustica,Swallow,freshwater,Hirundo,Hirundinidae,Passeriformes,705000,
Riparia riparia,Sand Martin,freshwater,Riparia,Hirundinidae,Passeriformes,"(70,500–225,000)",
Tachycineta bicolor,Tree Swallow,,Tachycineta,Hirundinidae,Passeriformes,,
Petrochelidon pyrrhonota,American Cliff Swallow,,Petrochelidon,Hirundinidae,Passeriformes,,
Cecropis daurica,Red-rumped Swallow,terrestrial,Cecropis,Hirundinidae,Passeriformes,,
Remiz pendulinus,Penduline Tit,,Remiz,Remizidae,Passeriformes,,
Paroaria capitata,Yellow-billed Cardinal,,Paroaria,Thraupidae,Passeriformes,,
Phylloscopus orientalis,Eastern Bonelli's Warbler,,Phylloscopus,Phylloscopidae,Passeriformes,,
Phylloscopus schwarzi,Radde's Warbler,,Phylloscopus,Phylloscopidae,Passeriformes,,
Phylloscopus humei,Hume's Warbler,,Phylloscopus,Phylloscopidae,Passeriformes,,
Phylloscopus plumbeitarsus,Two-barred Greenish Warbler,terrestrial,Phylloscopus,Phylloscopidae,Passeriformes,,
Phylloscopus inornatus,Yellow-browed Warbler,,Phylloscopus,Phylloscopidae,Passeriformes,,25
Phylloscopus fuscatus,Dusky Warbler,,Phylloscopus,Phylloscopidae,Passeriformes,,
Phylloscopus nitidus,Green Warbler,,Phylloscopus,Phylloscopidae,Passeriformes,,
Phylloscopus trochiloides,Greenish Warbler,,Phylloscopus,Phylloscopidae,Passeriformes,,
Phylloscopus bonelli,Western Bonelli's Warbler,,Phylloscopus,Phylloscopidae,Passeriformes,,
Phylloscopus coronatus,Eastern Crowned Warbler,,Phylloscopus,Phylloscopidae,Passeriformes,,
Phylloscopus collybita,Chiffchaff,,Phylloscopus,Phylloscopidae,Passeriformes,1750000,
Phylloscopus trochilus,Willow Warbler,,Phylloscopus,Phylloscopidae,Passeriformes,2300000,
Phylloscopus ibericus,Iberian Chiffchaff,,Phylloscopus,Phylloscopidae,Passeriformes,(0–1),
Phylloscopus sibilatrix,Wood Warbler,,Phylloscopus,Phylloscopidae,Passeriformes,"6,500 (6,000–7,050)",
Phylloscopus tenellipes,Pale-legged Leaf Warbler,terrestrial,Phylloscopus,Phylloscopidae,Passeriformes,,
Phylloscopus proregulus,Pallas's Warbler,,Phylloscopus,Phylloscopidae,Passeriformes,,
Phylloscopus borealis,Arctic Warbler,,Phylloscopus,Phylloscopidae,Passeriformes,,
Phylloscopus griseolus,Sulphur-bellied Warbler,terrestrial,Phylloscopus,Phylloscopidae,Passeriformes,,
Regulus calendula,Ruby-crowned Kinglet,terrestrial,Regulus,Regulidae,Passeriformes,,
Regulus regulus,Goldcrest,,Regulus,Regulidae,Passeriformes,790000,
Regulus ignicapilla,Firecrest,,Regulus,Regulidae,Passeriformes,"2,000+",
Vireo philadelphicus,Philadelphia Vireo,,Vireo,Vireonidae,Passeriformes,,
Vireo flavifrons,Yellow-throated Vireo,,Vireo,Vireonidae,Passeriformes,,
Vireo olivaceus,Red-eyed Vireo,,Vireo,Vireonidae,Passeriformes,,
Hydrocoloeus minutus,Little Gull,marine/freshwater,Hydrocoloeus,Laridae,Charadriiformes,,
Onychoprion fuscatus,Sooty Tern,marine,Onychoprion,Laridae,Charadriiformes,,
Onychoprion aleuticus,Aleutian Tern,marine,Onychoprion,Laridae,Charadriiformes,,
Larus cachinnans,Caspian Gull,,Larus,Laridae,Charadriiformes,,125
Chlidonias hybrida,Whiskered Tern,marine,Chlidonias,Laridae,Charadriiformes,,
Hydroprogne caspia,Caspian Tern,marine,Hydroprogne,Laridae,Charadriiformes,,
Numenius tenuirostris,Slender-billed Curlew,,Numenius,Scolopacidae,Charadriiformes,,
