Species name,Season,Unit,GB Estimate,UK Estimate,UK Date
Capercaillie,W,I,"1,100","1,100",2015/16
Black Grouse,B,M,"4,850","4,850",2016
Ptarmigan,B,P,"(2,000–15,000)","(2000–15,000)",2007
Red Grouse,B,P,"265,000","265,000",2016
Red-legged Partridge,B,T,"72,500","72,500",2016
Grey Partridge,B,T,"37,000","37,000",2016
Quail,B,M,350,355,2013–17
Pheasant,B,F,"2,300,000","2,350,000",2016
Golden Pheasant,B,M,15,15,2010–14
Lady Amherst’s Pheasant,B,M,0,0,2016
Brent Goose,W,I,"105,000","135,000",2012/13–2016/17
Canada Goose,B,P,"54,000","54,500",2013–17
,W,I,"160,000","165,000",2012/13–2016/17
Barnacle Goose,B,P,"1,450","1,550",2012–15
,W,I,"105,000","105,000",–
Snow Goose,B,P,2,2,2010–14
,W,I,75,75,2011/12–2015/16
Greylag Goose,B,P,"47,000","47,000",2013–17
,W,I,"230,000","230,000",2012/13–2016/17
Taiga Bean Goose,W,I,230,230,2016/17–2017/18
Pink-footed Goose,W,I,"-510,000","-510,000",2015–16
Tundra Bean Goose,W,I,300,300,2011/12–2014/15
White-fronted Goose,B,P,(0–1),(0–1),2013–17
,W,I,13500,"14,000",–
Mute Swan,B,P,"6,500 (5,850–7,100)","7,000 (6,300–7,600)",2016
,W,I,"50,500","52,500",2012/13–2016/17
Bewick’s Swan,W,I,"4,350",4350,2015
Whooper Swan,B,P,24,28,2013–17
,W,I,"16,000","19,500",2015
Egyptian Goose,B,P,"1,850","1,850",2013–17
,W,I,"5,600","5,600",2012/13–2016/17
Shelduck,B,P,"7,600","7,850",2016
,W,I,"47,000","51,000",2012/13–2016/17
Mandarin Duck,B,P,"4,400","4,400",2007–11
,W,I,"13,500","13,500",2007–11
Garganey,B,P,105,105,2013–17
Shoveler,B,P,"1,100","1,100",2013–17
,W,I,"19,000","19,500",2012/13–2016/17
Gadwall,B,P,"(1,250–3,150)+","(1,250–3,200)+",2016
,W,I,"31,000","31,000",2012/13–2016/17
Wigeon,B,P,200,200,2013–17
,W,I,"445,000","450,000",2012/13–2016/17
American Wigeon,W,I,17,18,2012/13–2016/17
Mallard,B,P,"(59,000–140,000)+","(61,000–145,000)+",2016
,W,I,"665,000","675,000",2012/13–2016/17
Pintail,B,P,27,27,2013–17
,W,I,"19,500","20,000",2012/13–2016/17
Teal,B,P,"(2,700–4,750)","(2,700–4,750)",2016
,W,I,"430,000","435,000",2012/13–2016/17
Green-winged Teal,W,I,32,34,2012/13–2016/17
Red-crested Pochard,B,P,39 (20–47)+,39 (20–47)+,2010–14
,W,I,570,570,2012/13–2016/17
Pochard,B,P,695,720,2013–17
,W,I,"23,000","29,000",2012/13–2016/17
Ferruginous Duck,W,I,8,9,2012/13–2016/17
Ring-necked Duck,W,I,16,18,2012/13–2016/17
Tufted Duck,B,P,"(16,000–18,000)","(16,500–19,000)",2016
,W,I,"130,000","140,000",2012/13–2016/17
Scaup,B,P,(0–1),(0–1),2013–17
,W,I,"3,900","6,400",2011/12–2014/15
Eider,B,P,"36,000","37,000",2012–15
,W,I,"81,500","86,000",2011/12–2014/15
Surf Scoter,W,I,23,24,2012/13–2016/17
Velvet Scoter,W,I,"3,350","3,350",2011/12–2014/15
Common Scoter,B,P,52,52,2007
,W,I,"135,000","135,000",2011/12–2014/15
Long-tailed Duck,W,I,"13,500","13,500",2011/12–2014/15
Goldeneye,B,F,200,200,2006 – 2010
,W,I,"18,500","21,000",2012/13–2016/17
Smew,W,I,125,125,2012/13–2016/17
Goosander,B,P,"4,800 (4,250–5,250)+","4,800 (4,250–5,250)+",2016
,W,I,"14,500","14,500",2012/13–2016/17
Red-breasted Merganser,B,P,"1,550 (1,350–1,750)+","1,650",2008–11
,W,I,"10,500","11,000",2012/13–2016/17
Ruddy Duck,B,P,(2–3),(2–3),2017
,W,I,23,23,2016
Nightjar,B,M,"4,600 (3,700–5,500)","4,600 (3,700–5,500)",2004
Swift,B,P,"59,000 (43,000–75,000)+","59,000 (43,000–75,000)+",2016
Great Bustard,B,P,4,4,2013–17
Cuckoo,B,P,"17,000 (8,950–24,500)+","18,000 (9,800–26,000)+",2016
Rock Dove,B,P,"460,000 (375,000–545,000)","465,000 (380,000–550,000)",2016
Stock Dove,B,T,"320,000","320,000",2016
Woodpigeon,B,P,"5,050,000 (4,750,000–5,350,000)","5,150,000 (4,850,000–5,450,000)",2016
Turtle Dove,B,T,"3,600","3,600",2016
Collared Dove,B,P,"795,000 (715,000–875,000)","810,000 (730,000–890,000)",2016
Water Rail,B,T,"3,900","3,900",2016-17
Corncrake,B,M,"1,100","1,100",2013–17
Baillon’s Crake,B,M,(0–6),(0–6),2012
Spotted Crake,B,M,27,27,2013–17
Moorhen,B,T,"200,000","210,000",2016
,W,I,"300,000","305,000",2012/13–2016/17
Coot,B,P,"25,500","26,000",2016
,W,I,"200,000","205,000",2012/13–2016/17
Crane,B,P,31,31,2013–17
,W,I,175,175,2017/18
